00:bot -> 00:bot | gamma=00
00:null -> 00:bot | gamma=00
00:notnull -> 00:bot | gamma=00
00:top -> 00:bot | gamma=00
01:bot -> 00:bot | gamma=00
01:null -> 00:bot | gamma=00
01:notnull -> 01:notnull | gamma=01
01:top -> 01:notnull | gamma=01
10:bot -> 00:bot | gamma=00
10:null -> 10:null | gamma=10
10:notnull -> 00:bot | gamma=00
10:top -> 10:null | gamma=10
11:bot -> 00:bot | gamma=00
11:null -> 10:null | gamma=10
11:notnull -> 01:notnull | gamma=01
11:top -> 11:top | gamma=11
