class,file,family,status,silent_error,input_shape,n_params,n_with_grad
UniSpeechSatAttnAdapterLayer,benchmarks/_corpus/transformers/src/transformers/models/unispeech_sat/modeling_unispeech_sat.py,linear-only,ok,False,"[2, 4, 16]",6,1
Phi3RMSNorm,benchmarks/_corpus/transformers/src/transformers/models/phi3/modeling_phi3.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
OlmoHybridRMSNormGated,benchmarks/_corpus/transformers/src/transformers/models/olmo_hybrid/modeling_olmo_hybrid.py,broadcast-elementwise,forward_or_backward_failed,False,,,
DiTCodecEmbedding,benchmarks/_corpus/transformers/src/transformers/models/qwen2_5_omni/modeling_qwen2_5_omni.py,embedding-family,ok,False,"[1, 4]",1,1
GraniteMoeHybridTopKGating,benchmarks/_corpus/transformers/src/transformers/models/granitemoehybrid/modeling_granitemoehybrid.py,linear-only,ok,False,"[2, 16]",1,1
SamFeedForward,benchmarks/_corpus/transformers/src/transformers/models/sam/modeling_sam.py,linear-only,instantiation_failed,False,,,
MMGroundingDinoContrastiveEmbedding,benchmarks/_corpus/transformers/src/transformers/models/mm_grounding_dino/modeling_mm_grounding_dino.py,broadcast-elementwise,forward_or_backward_failed,False,,,
HubertAttnAdapterLayer,benchmarks/_corpus/transformers/src/transformers/models/hubert/modeling_hubert.py,linear-only,ok,False,"[2, 4, 16]",6,1
MultiScaleDeformableAttention,benchmarks/_corpus/transformers/src/transformers/models/grounding_dino/modeling_grounding_dino.py,broadcast-elementwise,forward_or_backward_failed,False,,,
CpmAntLayerNorm,benchmarks/_corpus/transformers/src/transformers/models/cpmant/modeling_cpmant.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
Lfm2MoeRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/lfm2_moe/modeling_lfm2_moe.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
WavLMFeatureEncoder,benchmarks/_corpus/transformers/src/transformers/models/wavlm/modeling_wavlm.py,no_handler_detected,instantiation_failed,False,,,
StableLmLayerNormPerHead,benchmarks/_corpus/transformers/src/transformers/models/stablelm/modeling_stablelm.py,norm-family,forward_or_backward_failed,False,,,
SwitchTransformersLayerNorm,benchmarks/_corpus/transformers/src/transformers/models/switch_transformers/modeling_switch_transformers.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
Ovis2RMSNorm,benchmarks/_corpus/transformers/src/transformers/models/ovis2/modeling_ovis2.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
Qwen3MoeTopKRouter,benchmarks/_corpus/transformers/src/transformers/models/qwen3_moe/modeling_qwen3_moe.py,linear-only,ok,False,"[2, 4, 16]",1,1
GlmImageRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/glm_image/modeling_glm_image.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
Qwen3OmniMoeCode2WavRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/qwen3_omni_moe/modeling_qwen3_omni_moe.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
JetMoeRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/jetmoe/modeling_jetmoe.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
YoutuRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/youtu/modeling_youtu.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
MBartClassificationHead,benchmarks/_corpus/transformers/src/transformers/models/mbart/modeling_mbart.py,linear-only,instantiation_failed,False,,,
SqueezeBertEncoder,benchmarks/_corpus/transformers/src/transformers/models/squeezebert/modeling_squeezebert.py,conv-family,instantiation_failed,False,,,
Mamba2RMSNorm,benchmarks/_corpus/transformers/src/transformers/models/mamba2/modeling_mamba2.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
T5LayerNorm,benchmarks/_corpus/transformers/src/transformers/models/t5/modeling_t5.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
JetMoeTopKGating,benchmarks/_corpus/transformers/src/transformers/models/jetmoe/modeling_jetmoe.py,linear-only,ok,False,"[2, 16]",1,1
Glm4vRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/glm4v/modeling_glm4v.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
GroupedLinearLayer,benchmarks/_corpus/transformers/src/transformers/models/convbert/modeling_convbert.py,attention-family,ok,False,"[2, 4, 16]",2,2
SqueezeExcitationBlock,benchmarks/_corpus/transformers/src/transformers/models/qwen2_5_omni/modeling_qwen2_5_omni.py,conv-family,forward_or_backward_failed,False,,,
HifiGanResidualBlock,benchmarks/_corpus/transformers/src/transformers/models/speecht5/modeling_speecht5.py,conv-family,forward_or_backward_failed,False,,,
GraniteMoeParallelExperts,benchmarks/_corpus/transformers/src/transformers/models/granitemoe/modeling_granitemoe.py,linear-only,forward_or_backward_failed,False,,,
MultiScaleDeformableAttention,benchmarks/_corpus/transformers/src/transformers/models/deformable_detr/modular_deformable_detr.py,broadcast-elementwise,forward_or_backward_failed,False,,,
MPNetLMHead,benchmarks/_corpus/transformers/src/transformers/models/mpnet/modeling_mpnet.py,linear-only,forward_or_backward_failed,False,,,
Qwen3NextTopKRouter,benchmarks/_corpus/transformers/src/transformers/models/qwen3_next/modeling_qwen3_next.py,linear-only,ok,False,"[2, 4, 16]",1,1
Qwen3OmniMoeVisionPatchMerger,benchmarks/_corpus/transformers/src/transformers/models/qwen3_omni_moe/modeling_qwen3_omni_moe.py,linear-only,forward_or_backward_failed,False,,,
ApertusRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/apertus/modeling_apertus.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
XLMRobertaXLPooler,benchmarks/_corpus/transformers/src/transformers/models/xlm_roberta_xl/modeling_xlm_roberta_xl.py,linear-only,ok,False,"[2, 4, 16]",2,2
CsmRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/csm/modeling_csm.py,broadcast-elementwise,ok,False,"[2, 4, 16]",1,1
ViltPooler,benchmarks/_corpus/transformers/src/transformers/models/vilt/modeling_vilt.py,linear-only,ok,False,"[2, 4, 16]",2,2
Qwen3VLVisionPatchEmbed,benchmarks/_corpus/transformers/src/transformers/models/qwen3_vl/modeling_qwen3_vl.py,conv-family,forward_or_backward_failed,False,,,
EsmLMHead,benchmarks/_corpus/transformers/src/transformers/models/esm/modeling_esm.py,linear-only,forward_or_backward_failed,False,,,
BertGenerationEmbeddings,benchmarks/_corpus/transformers/src/transformers/models/bert_generation/modeling_bert_generation.py,embedding-family,ok,False,"[1, 4]",4,2
RobertaLMHead,benchmarks/_corpus/transformers/src/transformers/models/roberta/modeling_roberta.py,linear-only,forward_or_backward_failed,False,,,
GraniteMoeSharedParallelExperts,benchmarks/_corpus/transformers/src/transformers/models/granitemoeshared/modeling_granitemoeshared.py,linear-only,forward_or_backward_failed,False,,,
LagunaRMSNorm,benchmarks/_corpus/transformers/src/transformers/models/laguna/modeling_laguna.py,norm-family,ok,False,"[2, 4, 16]",1,1
