block_id,verdict,footprint_class,ops_touched
transformers__CLIPEncoder__7de3a90a,Abstain,audited,
transformers__CLIPEncoderLayer__907c2486,Refuted,audited,layer_norm
transformers__CLIPForImageClassification__53204b83,Refuted,audited,linear|reduce
transformers__CLIPMLP__d12a982d,Abstain,audited,linear
transformers__CLIPModel__13d2dfa6,Refuted,audited,linear|matmul
transformers__CLIPPreTrainedModel__592bf875,Refuted,audited,layer_norm|linear
transformers__CLIPTextEmbeddings__317a8260,Verified,tested-only,creation_ops|embed|expand
transformers__CLIPTextModel__fec7faa7,Refuted,audited,
transformers__CLIPTextModelWithProjection__7f89d913,Refuted,audited,linear
transformers__CLIPTextTransformer__031c0e29,Abstain,tested-only,argmax|creation_ops|layer_norm|to|view
transformers__CLIPVisionEmbeddings__e11586d7,Abstain,tested-only,cat|conv2d|creation_ops|embed|expand|flatten|permute|reshape|to|transpose|unsqueeze|view
transformers__CLIPVisionModel__f9612f8b,Refuted,audited,
transformers__CLIPVisionModelWithProjection__42d64006,Refuted,audited,linear
transformers__CLIPVisionTransformer__89db1fbd,Abstain,audited,layer_norm
transformers__MistralAttention__8ac29b08,Abstain,tested-only,contiguous|linear|reshape|rotary_embedding|transpose|view
transformers__MistralDecoderLayer__e784c786,Refuted,audited,rms_norm
transformers__MistralForCausalLM__2460b16a,Refuted,audited,linear
transformers__MistralForQuestionAnswering__8b18fca6,Refuted,audited,
transformers__MistralForSequenceClassification__575cee26,Refuted,audited,
transformers__MistralForTokenClassification__f6513bc5,Refuted,audited,
transformers__MistralMLP__77a47fec,Abstain,audited,linear
transformers__MistralModel__a8738ef2,Refuted,tested-only,creation_ops|embed|rms_norm|rotary_embedding|unsqueeze
transformers__MistralPreTrainedModel__c5a3ee26,Refuted,audited,
transformers__MistralRMSNorm__fada1fa7,Verified,tested-only,creation_ops|elementwise_binary|reduce|rms_norm|to
transformers__MistralRotaryEmbedding__fafa13a1,Abstain,audited,cat|expand|to|transpose
transformers__GemmaAttention__dd2e41bc,Abstain,tested-only,contiguous|linear|reshape|rotary_embedding|transpose|view
transformers__GemmaDecoderLayer__6502abe9,Refuted,audited,rms_norm
transformers__GemmaForCausalLM__64e45a7d,Refuted,audited,linear
transformers__GemmaForSequenceClassification__834f8664,Refuted,audited,
transformers__GemmaForTokenClassification__284b1df0,Refuted,audited,
transformers__GemmaMLP__c43d07a7,Abstain,audited,linear
transformers__GemmaModel__a5eac09f,Refuted,tested-only,creation_ops|embed|rms_norm|rotary_embedding|unsqueeze
transformers__GemmaPreTrainedModel__bea9489b,Refuted,audited,rms_norm
transformers__GemmaRMSNorm__3af82dcc,Abstain,tested-only,creation_ops|elementwise_binary|reduce|rms_norm
transformers__GemmaRotaryEmbedding__73305142,Abstain,audited,cat|expand|to|transpose
transformers__FalconAttention__9742bf57,Abstain,tested-only,broadcast_to|contiguous|dropout|flatten|permute|reshape|rotary_embedding|softmax|to|transpose|view
transformers__FalconDecoderLayer__6582cbfb,Refuted,audited,
transformers__FalconFlashAttention2__c64fa866,Refuted,tested-only,reshape|rotary_embedding|transpose
transformers__FalconForCausalLM__0bd2b170,Refuted,audited,linear
transformers__FalconForQuestionAnswering__4a8af66e,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__FalconForSequenceClassification__53df6fb0,Refuted,tested-only,argmax|creation_ops|linear|squeeze
transformers__FalconForTokenClassification__ed8d05f2,Refuted,audited,dropout|linear|view
transformers__FalconLinear__11c4d60e,Verified,audited,linear
transformers__FalconMLP__6b8bea33,Abstain,audited,
transformers__FalconModel__15321937,Refuted,tested-only,creation_ops|embed|expand|reshape|rotary_embedding|scaled_dot_product_attention|unsqueeze
transformers__FalconPreTrainedModel__55936532,Refuted,audited,embed|linear
transformers__FalconRotaryEmbedding__0d3de369,Abstain,audited,cat|expand|to|transpose
transformers__GPTNeoXAttention__0cfba163,Abstain,tested-only,chunk|contiguous|linear|reshape|rotary_embedding|transpose|view
transformers__GPTNeoXDecoderLayer__fdd10742,Refuted,audited,rms_norm
transformers__GPTNeoXForCausalLM__303baee1,Refuted,audited,linear
transformers__GPTNeoXForQuestionAnswering__a03baec2,Refuted,audited,contiguous|linear|split|squeeze
transformers__GPTNeoXForSequenceClassification__71a009c6,Refuted,tested-only,argmax|creation_ops|linear
transformers__GPTNeoXForTokenClassification__86a22a5b,Refuted,audited,dropout|linear
transformers__GPTNeoXLayer__e0f32bd0,Refuted,audited,dropout|layer_norm
transformers__GPTNeoXMLP__80844091,Abstain,audited,linear
transformers__GPTNeoXModel__1d753983,Refuted,tested-only,creation_ops|dropout|embed|layer_norm|rotary_embedding|to|unsqueeze
transformers__GPTNeoXPreTrainedModel__9eda7029,Refuted,audited,
transformers__GPTNeoXRMSNorm__d653611b,Verified,tested-only,creation_ops|elementwise_binary|reduce|rms_norm|to
transformers__GPTNeoXRotaryEmbedding__a44abc41,Abstain,audited,cat|expand|to|transpose
transformers__Qwen2Attention__bd67b6c8,Abstain,tested-only,contiguous|linear|reshape|rotary_embedding|transpose|view
transformers__Qwen2DecoderLayer__87203a27,Refuted,audited,rms_norm
transformers__Qwen2ForCausalLM__8bbd0043,Refuted,audited,linear
transformers__Qwen2ForQuestionAnswering__a8a5c2d4,Refuted,audited,
transformers__Qwen2ForSequenceClassification__6433ca29,Refuted,audited,
transformers__Qwen2ForTokenClassification__37e86321,Refuted,audited,
transformers__Qwen2MLP__847e5083,Abstain,audited,linear
transformers__Qwen2Model__58bb107f,Refuted,tested-only,creation_ops|embed|rms_norm|rotary_embedding|unsqueeze
transformers__Qwen2PreTrainedModel__a311ac62,Refuted,audited,
transformers__Qwen2RMSNorm__795d458c,Verified,tested-only,creation_ops|elementwise_binary|reduce|rms_norm|to
transformers__Qwen2RotaryEmbedding__c9b7a59b,Abstain,audited,cat|expand|to|transpose
transformers__RobertaAttention__e006f377,Abstain,audited,
transformers__RobertaClassificationHead__d31ced3e,Verified,audited,dropout|linear|tanh
transformers__RobertaEmbeddings__27d0f198,Abstain,tested-only,creation_ops|dropout|embed|expand|layer_norm|unsqueeze
transformers__RobertaEncoder__320be8e6,Abstain,audited,
transformers__RobertaForCausalLM__bd93edfc,Refuted,audited,
transformers__RobertaForMaskedLM__6e029774,Refuted,audited,view
transformers__RobertaForMultipleChoice__0324395b,Refuted,audited,dropout|linear|view
transformers__RobertaForQuestionAnswering__e34c038b,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__RobertaForSequenceClassification__38529e03,Refuted,audited,squeeze|view
transformers__RobertaForTokenClassification__a9785151,Refuted,audited,dropout|linear|view
transformers__RobertaIntermediate__9da9fb8b,Abstain,audited,linear
transformers__RobertaLMHead__dc339265,Verified,tested-only,creation_ops|layer_norm|linear
transformers__RobertaLayer__a95c30ac,Refuted,audited,
transformers__RobertaModel__e903ada9,Refuted,tested-only,creation_ops|expand
transformers__RobertaOutput__85cdfff1,Verified,audited,dropout|layer_norm|linear
transformers__RobertaPooler__43433f8b,Verified,audited,linear|tanh
transformers__RobertaPreTrainedModel__e616dcd3,Refuted,audited,embed|layer_norm|linear
transformers__RobertaSdpaSelfAttention__cc16368b,Refuted,audited,reshape|transpose|view
transformers__RobertaSelfAttention__56085e50,Abstain,tested-only,contiguous|creation_ops|dropout|einsum|embed|linear|matmul|permute|to|transpose|view
transformers__RobertaSelfOutput__4b1851b0,Verified,audited,dropout|layer_norm|linear
transformers__AlbertAttention__9691e747,Abstain,tested-only,creation_ops|dropout|einsum|embed|flatten|layer_norm|linear|matmul|to|transpose|view
transformers__AlbertEmbeddings__aa5a3981,Abstain,tested-only,creation_ops|dropout|embed|expand|layer_norm
transformers__AlbertForMaskedLM__444a57ae,Refuted,audited,argmax|embed|linear|view|where
transformers__AlbertForMultipleChoice__3d721e99,Refuted,audited,dropout|linear|view
transformers__AlbertForPreTraining__0bc1b159,Refuted,audited,embed|linear|unsqueeze|view
transformers__AlbertForQuestionAnswering__4a242c13,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__AlbertForSequenceClassification__fd9bb76c,Refuted,audited,dropout|linear|squeeze|view
transformers__AlbertForTokenClassification__a514ef32,Refuted,audited,dropout|linear|view
transformers__AlbertLayer__50bc51d0,Abstain,audited,dropout|layer_norm|linear
transformers__AlbertLayerGroup__ef35f8f2,Refuted,audited,
transformers__AlbertMLMHead__8a0fa150,Abstain,tested-only,creation_ops|layer_norm|linear
transformers__AlbertModel__f4b637f2,Refuted,tested-only,creation_ops|embed|expand|linear|tanh|to|unsqueeze
transformers__AlbertPreTrainedModel__6b90b824,Refuted,audited,embed|layer_norm|linear
transformers__AlbertSOPHead__016ff313,Verified,audited,dropout|linear
transformers__AlbertSdpaAttention__6c7a75f6,Refuted,audited,reshape|transpose|view
transformers__AlbertTransformer__5a849827,Abstain,audited,linear
transformers__OPTAttention__46b5daf0,Abstain,audited,contiguous|linear|reshape|transpose|view
transformers__OPTDecoder__c91a52f0,Refuted,tested-only,creation_ops|embed|expand|layer_norm|linear|reshape|scaled_dot_product_attention|unsqueeze|view
transformers__OPTDecoderLayer__24a4c9cc,Refuted,audited,layer_norm|linear|reshape|view
transformers__OPTForCausalLM__2b15a250,Refuted,audited,contiguous|linear
transformers__OPTForQuestionAnswering__b4351cc4,Refuted,audited,argmax|clamp|contiguous|linear|split|squeeze
transformers__OPTForSequenceClassification__5365eb03,Refuted,tested-only,argmax|creation_ops|linear|squeeze|view
transformers__OPTLearnedPositionalEmbedding__6fb6e1e7,Verified,audited,embed
transformers__OPTModel__bb5f30a8,Refuted,audited,
transformers__OPTPreTrainedModel__8d7cca0c,Refuted,audited,embed|layer_norm|linear
transformers__BloomAttention__4ab351a5,Abstain,audited,bmm|dropout|linear|permute|reshape|softmax|transpose|view
transformers__BloomBlock__3a17894c,Refuted,audited,
transformers__BloomForCausalLM__36a60c67,Refuted,tested-only,cat|contiguous|creation_ops|linear
transformers__BloomForQuestionAnswering__7994d60e,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__BloomForSequenceClassification__81e125ad,Refuted,tested-only,argmax|creation_ops|linear|squeeze
transformers__BloomForTokenClassification__057bf6a0,Refuted,audited,dropout|linear|view
transformers__BloomGelu__8ee84096,Verified,audited,
transformers__BloomMLP__43666c6d,Abstain,audited,linear
transformers__BloomModel__f089388c,Refuted,tested-only,creation_ops|embed|expand|reshape|scaled_dot_product_attention
transformers__BloomPreTrainedModel__4a772e64,Refuted,audited,embed|linear
transformers__ContextPooler__8ee8f94f,Abstain,audited,dropout|linear
transformers__DebertaAttention__ad76f1a3,Abstain,audited,
transformers__DebertaEmbeddings__a04a0e1f,Abstain,tested-only,creation_ops|dropout|embed|expand|linear|squeeze|unsqueeze
transformers__DebertaEncoder__233bff42,Abstain,audited,embed|squeeze|unsqueeze
transformers__DebertaForMaskedLM__bdf0c81c,Refuted,audited,view
transformers__DebertaForQuestionAnswering__dbb32f9f,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__DebertaForSequenceClassification__f3f064d8,Refuted,audited,dropout|expand|gather|linear|reduce|squeeze|view
transformers__DebertaForTokenClassification__db2b551a,Refuted,audited,dropout|linear|view
transformers__DebertaIntermediate__0eab50bc,Abstain,audited,linear
transformers__DebertaLMPredictionHead__eda030a3,Abstain,tested-only,creation_ops|layer_norm|linear|matmul
transformers__DebertaLayer__a1667b76,Refuted,audited,
transformers__DebertaLayerNorm__fb3b5814,Verified,tested-only,creation_ops|elementwise_binary|reduce
transformers__DebertaModel__d4dcd33c,Refuted,tested-only,creation_ops
transformers__DebertaOnlyMLMHead__d2057fff,Abstain,audited,
transformers__DebertaOutput__984d5f9f,Abstain,audited,dropout|linear
transformers__DebertaPreTrainedModel__81744cba,Refuted,audited,embed|layer_norm|linear
transformers__DebertaSelfOutput__89334fca,Abstain,audited,dropout|linear
transformers__DisentangledSelfAttention__b8334cec,Abstain,tested-only,cat|chunk|clamp|contiguous|creation_ops|dropout|gather|linear|matmul|permute|split|to|transpose|unsqueeze|view
transformers__LegacyDebertaLMPredictionHead__c60fb93e,Abstain,tested-only,creation_ops|linear
transformers__LegacyDebertaOnlyMLMHead__230311ab,Abstain,audited,
transformers__LegacyDebertaPredictionHeadTransform__32cb6d4e,Abstain,audited,layer_norm|linear
transformers__ElectraAttention__5759530c,Abstain,audited,
transformers__ElectraClassificationHead__4afaea88,Abstain,audited,dropout|linear
transformers__ElectraDiscriminatorPredictions__3e27518e,Abstain,audited,linear|squeeze
transformers__ElectraEmbeddings__42cd8d0b,Abstain,tested-only,creation_ops|dropout|embed|expand|layer_norm
transformers__ElectraEncoder__5529778a,Abstain,audited,
transformers__ElectraForCausalLM__096d250d,Refuted,audited,linear
transformers__ElectraForMaskedLM__d15e3e41,Refuted,audited,linear|view
transformers__ElectraForMultipleChoice__6fbdbe6b,Refuted,audited,linear|view
transformers__ElectraForPreTraining__74bdacae,Refuted,audited,squeeze|view
transformers__ElectraForQuestionAnswering__389f4d6e,Refuted,audited,clamp|contiguous|linear|split|squeeze
transformers__ElectraForSequenceClassification__af15f28d,Refuted,audited,squeeze|view
transformers__ElectraForTokenClassification__12722bf3,Refuted,audited,dropout|linear|view
transformers__ElectraGeneratorPredictions__5ad5a190,Abstain,audited,layer_norm|linear
transformers__ElectraIntermediate__84a0c6ce,Abstain,audited,linear
transformers__ElectraLayer__e8b525e7,Refuted,audited,
transformers__ElectraModel__12079a7f,Refuted,tested-only,creation_ops|expand|linear
transformers__ElectraOutput__6cf5d663,Verified,audited,dropout|layer_norm|linear
transformers__ElectraPreTrainedModel__1e4993ba,Refuted,audited,embed|layer_norm|linear
transformers__ElectraSelfAttention__3f68d2e7,Abstain,tested-only,contiguous|creation_ops|dropout|einsum|embed|linear|matmul|permute|to|transpose|view
transformers__ElectraSelfOutput__ddfbfff8,Verified,audited,dropout|layer_norm|linear
transformers__ElectraSequenceSummary__fa325a69,Abstain,audited,dropout|expand|gather|linear|reduce|squeeze|unsqueeze
