block_id,verdict,footprint_class,ops_touched
torchvision__LastLevelMaxPool__8cfe9276,Refuted,tested-only,max_pool2d
torchvision__LastLevelP6P7__3cc67870,Refuted,audited,conv2d|relu
timm__BasicBlock__0c23b6cb,Abstain,tested-only,batch_norm|conv2d|relu
timm__Bottleneck__d8963bbe,Abstain,tested-only,batch_norm|conv2d|relu
timm__ResNet__bfd20515,Abstain,tested-only,avg_pool2d|batch_norm|conv2d|dropout|max_pool2d|relu
timm__Block__3bb5a41e,Abstain,audited,gelu
timm__DiffParallelScalingBlock__8a54b29d,Abstain,tested-only,cat|creation_ops|dropout|elementwise_binary|gelu|linear|reduce|reshape|scaled_dot_product_attention|split|transpose|unbind|view
timm__ParallelScalingBlock__d7876d3b,Abstain,tested-only,cat|creation_ops|dropout|gelu|linear|reshape|scaled_dot_product_attention|split|transpose|view
timm__ParallelThingsBlock__61fc9e7f,Verified,audited,gelu|reduce|stack
timm__ResPostBlock__77d8eb34,Abstain,audited,gelu
timm__VisionTransformer__4a5613ac,Abstain,tested-only,cat|checkpoint|contiguous|creation_ops|dropout|expand|gelu|linear|permute|reshape|view
timm__PatchMerging__6aa19f74,Abstain,audited,flatten|layer_norm|linear|permute|reshape
timm__SwinTransformer__0f191eae,Abstain,audited,contiguous|layer_norm|permute
timm__SwinTransformerBlock__64269d53,Abstain,tested-only,contiguous|creation_ops|gelu|layer_norm|pad|reshape|roll_flip|unsqueeze|view
timm__SwinTransformerStage__519ea9c1,Verified,audited,layer_norm
timm__WindowAttention__2cfdd149,Abstain,tested-only,contiguous|creation_ops|dropout|expand|linear|permute|reshape|softmax|transpose|unbind|unsqueeze|view
timm__PatchMerging__fbc82ca8,Abstain,audited,flatten|layer_norm|linear|permute|reshape
timm__SwinTransformerV2__a165096c,Abstain,audited,contiguous|layer_norm|linear|permute
timm__SwinTransformerV2Block__bbc6501d,Abstain,tested-only,contiguous|creation_ops|layer_norm|pad|reshape|roll_flip|unsqueeze|view
timm__SwinTransformerV2Stage__a8ddb1b3,Verified,tested-only,checkpoint|layer_norm
